https://www.avito.ru/moskva/kvartiry/kvartira-studiya_30_m_2441_et._4642714027?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ2QlBZbTV3bUFOeTMyNlRJIjt9j6cJtj8AAAA,,"консьерж, мусоропровод",возможна ипотека,3.4 м,2024,2,"закрытая территория, детская площадка, спортивная площадка",,,студия,,"кухня, хранение одежды, спальные места",,30 м²,"на улицу, на солнечную сторону",,"подземная, наземная многоуровневая, открытая во дворе, за шлагбаумом во дворе",2,дизайнерский,совмещенный,свободная,,"кондиционер, холодильник, посудомоечная машина",монолитно-кирпичный,,,24 из 41,41
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_11_m_19_et._7280957428?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJidXJkVEFQTHNudGc3UnVoIjt9FM2g4j8AAAA,,мусоропровод,,,1969,нет,"детская площадка, спортивная площадка",,,студия,,,,11 м²,,,открытая во дворе,1,косметический,совмещенный,свободная,,,панельный,,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_18_m_220_et._7261024238?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJVcmUzR3UxdG16SnlkVkJOIjt99HrDGj8AAAA,,,,2.7 м,2023,1,"детская площадка, спортивная площадка",,,студия,,,,18 м²,,,"подземная, открытая во дворе",1,требует ремонта,совмещенный,свободная,,,монолитный,,,2 из 20,20
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_221_m_19_et._7351698372?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWnloZzlhOXNQT09hYTY5Ijt9ZiQEAj8AAAA,,мусоропровод,,2.7 м,1962,нет,"закрытая территория, детская площадка, спортивная площадка",,20 м²,студия,,,,22.1 м²,во двор,,за шлагбаумом во дворе,1,косметический,совмещенный,свободная,,,кирпичный,,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_244_m_224_et._7309950298?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJHNEpJNjBMbE1kZVBsMHhpIjt90wP9uD8AAAA,,консьерж,возможна ипотека,2.8 м,2024,2,"закрытая территория, детская площадка, спортивная площадка",панорамные окна,,студия,,"кухня, хранение одежды, спальные места",,24.4 м²,"во двор, на солнечную сторону",,"подземная, за шлагбаумом во дворе",2,евро,совмещенный,свободная,,"холодильник, стиральная машина",монолитно-кирпичный,,,2 из 24,24
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_14_m_111_et._7354749042?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJzV283WHBzQ1VJQlhxY3pmIjt9fYb83T8AAAA,,,,,,,,,,студия,,,,14 м²,,,,,требует ремонта,совмещенный,свободная,,,кирпичный,,,1 из 11,11
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_10_m_214_et._4838190970?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJVcmUzR3UxdG16SnlkVkJOIjt99HrDGj8AAAA,,мусоропровод,,,1989,нет,"детская площадка, спортивная площадка",,,студия,,,,10 м²,,,открытая во дворе,2,требует ремонта,совмещенный,свободная,,,панельный,,,2 из 14,14
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_19_m_116_et._7350074462?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJZVjlyVXpOczM5SGxWN2xIIjt9dde3Qj8AAAA,,мусоропровод,,,1983,1,"детская площадка, спортивная площадка",,,студия,,,,19 м²,во двор,,открытая во дворе,1,требует ремонта,совмещенный,свободная,,,панельный,,,1 из 16,16
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_225_m_19_et._7310058824?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ3Z0d1NE52eVZUNEZBdGF3Ijt9CKW0Sj8AAAA,,"мусоропровод, газ",,2.7 м,1972,нет,"детская площадка, спортивная площадка",,,студия,,,,22.5 м²,во двор,,открытая во дворе,1,требует ремонта,совмещенный,свободная,,,панельный,,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_144_m_19_et._7333585342?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTQmJqZE1Sakw4U0Y3MEljIjt9x8Km_j8AAAA,,мусоропровод,возможна ипотека,2.6 м,1978,нет,"детская площадка, спортивная площадка",,,студия,,,,14.4 м²,,,открытая во дворе,1,косметический,совмещенный,свободная,,,панельный,,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_12_m_112_et._7248470321?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI4cldlYWowclowY2V0bXJDIjt9NSZ3Tz8AAAA,,мусоропровод,возможна ипотека,2.6 м,1969,1,"детская площадка, спортивная площадка",,,студия,,,,12 м²,во двор,,открытая во дворе,1,требует ремонта,совмещенный,свободная,,,панельный,,,1 из 12,12
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_12_m_19_et._4838377494?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0NDNVckg5RERCY0NCczB6Ijt9ym18zj8AAAA,,мусоропровод,,,1969,нет,"детская площадка, спортивная площадка",,,студия,,,,12 м²,во двор,,открытая во дворе,1,евро,совмещенный,свободная,,,панельный,,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_192_m_19_et._7246933674?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIzNjJDRXhSSjdHaTBYdUVnIjt9tIJbsj8AAAA,,мусоропровод,,2.7 м,1970,нет,"детская площадка, спортивная площадка",,,студия,,,,19.2 м²,во двор,,открытая во дворе,1,косметический,совмещенный,свободная,,,панельный,,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_316_m_15_et._7354688212?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1V2Npc3RWUVJzZXk4dzllIjt9jjCY_T8AAAA,,,,1.8 м,1964,нет,"детская площадка, спортивная площадка",,,студия,,,,31.6 м²,,,открытая во дворе,нет,требует ремонта,совмещенный,свободная,,,кирпичный,,,1 из 5,5
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_213_m_116_et._7325575413?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOTGtvSUdGVnZxMUtSNmJWIjt9qBalJD8AAAA,балкон,,,2.9 м,1988,нет,спортивная площадка,,7.7 м²,студия,,,,21.3 м²,на улицу,,открытая во дворе,нет,косметический,совмещенный,свободная,,,кирпичный,,,1 из 16,16
https://www.avito.ru/moskva/kvartiry/dolya_v_kvartira-studii_135_m_15_et._4806378222?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0NDNVckg5RERCY0NCczB6Ijt9ym18zj8AAAA,,газ,"возможна ипотека, продажа доли",3 м,1929,нет,"закрытая территория, детская площадка, спортивная площадка",,,студия,,,,13.5 м²,на улицу,,"подземная, за шлагбаумом во дворе",нет,требует ремонта,совмещенный,свободная,,,кирпичный,,,1 из 5,5
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_169_m_316_et._7325130211?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRRmMzamdwT3ZmU3hRT29zIjt9dVl7Qz8AAAA,балкон,,,3 м,1988,нет,спортивная площадка,,8.1 м²,студия,,,,16.9 м²,на улицу,,открытая во дворе,нет,косметический,совмещенный,свободная,,,кирпичный,,,3 из 16,16
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_189_m_316_et._7326021235?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxbnlKaWFMdnNmZ3JvaTFDIjt9SyufOD8AAAA,балкон,,,2.9 м,1988,нет,детская площадка,,8.1 м²,студия,,,,18.9 м²,на солнечную сторону,,открытая во дворе,нет,косметический,совмещенный,свободная,,,кирпичный,,,3 из 16,16
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_105_m_112_et._4631150561?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBdHBRV1Uzb2o3YklrbkpZIjt9OQ0fOj8AAAA,,мусоропровод,возможна ипотека,,1974,1,"детская площадка, спортивная площадка",,,студия,,,,10.5 м²,на улицу,,открытая во дворе,1,евро,совмещенный,свободная,,,панельный,,,1 из 12,12
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_141_m_33_et._7325674481?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJPNkxqc3JSWncyVldVQnBGIjt9DWqTET8AAAA,,,,2.9 м,1988,нет,спортивная площадка,,7.6 м²,студия,,,,14.1 м²,на солнечную сторону,,открытая во дворе,нет,косметический,совмещенный,свободная,,,кирпичный,,,3 из 3,3
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_275_m_810_et._3970501242?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxclhKQzI4MUJzcTBLMXNJIjt9AE52Iz8AAAA,,,,,,,,,14.7 м²,студия,,,Апарт-отель ORO,27.5 м²,на улицу,чистовая,,,,совмещенный,,Сдача в 3 кв. 2025,,монолитно-кирпичный,ДДУ по ФЗ 214,,8 из 10,10
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_17_m_217_et._7322076677?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIRUdOcGI3cXFnUWFtVm9lIjt9ZdDAwD8AAAA,,мусоропровод,,2.6 м,2010,1,"детская площадка, спортивная площадка",,,студия,,,,17 м²,во двор,,открытая во дворе,1,требует ремонта,совмещенный,свободная,,,панельный,,,2 из 17,17
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_23_m_56_et._4759797636?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJtS0RETFQxMEdyVUlSamFkIjt96tOX6z8AAAA,,,возможна ипотека,3.7 м,1963,,,,18 м²,студия,,,,23 м²,во двор,,открытая во дворе,1,евро,совмещенный,свободная,,,кирпичный,,,5 из 6,6
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_12_m_19_et._7310711130?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0NDNVckg5RERCY0NCczB6Ijt9ym18zj8AAAA,,мусоропровод,,2.7 м,1969,нет,"детская площадка, спортивная площадка",,,студия,,,,12 м²,во двор,,открытая во дворе,1,требует ремонта,совмещенный,свободная,,,панельный,,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_314_m_716_et._7350803504?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJHNEpJNjBMbE1kZVBsMHhpIjt90wP9uD8AAAA,балкон,,,3.2 м,,,"детская площадка, спортивная площадка",,19.7 м²,студия,"Этап 2, Корпус 2",,ЖК «Квартал Герцена»,31.4 м²,,предчистовая,,,,,,Сдача в 4 кв. 2027,,монолитно-кирпичный,ДДУ по ФЗ 214,,7 из 16,16
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_118_m_19_et._7325083612?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJiTXlUU29KUEM0Yno2U1BXIjt9BEZIqj8AAAA,,мусоропровод,возможна ипотека,2.6 м,1967,нет,"детская площадка, спортивная площадка",,,студия,,,,11.8 м²,во двор,,открытая во дворе,1,евро,совмещенный,свободная,,,панельный,,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_339_m_420_et._7329258865?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJiODNHUkdKUFlnRndEM0d0Ijt9DNy_KT8AAAA,,,,,,,,,,студия,,,МФК «DIUS»,33.9 м²,на улицу,без отделки,,,,совмещенный,,Сдача в 4 кв. 2025,,монолитно-кирпичный,ДДУ по ФЗ 214,,4 из 20,20
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_248_m_3558_et._3371410471?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJVdlYxQ2NQUXVoMmF2M2c3Ijt9fKZ93z8AAAA,,,возможна ипотека,3 м,,,,,11.8 м²,студия,Корпус 1,,ЖК «Обручева 30»,24.8 м²,,чистовая,,,,совмещенный,,Сдача в 4 кв. 2026,,монолитный,ДДУ по ФЗ 214,,35 из 58,58
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_185_m_66_et._7293760412?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJPbmtIbEtLcVpsR3Nsd3ZVIjt9z_nryz8AAAA,,,,2.8 м,1927,нет,спортивная площадка,,7.1 м²,студия,,,,18.5 м²,на солнечную сторону,,открытая во дворе,нет,косметический,совмещенный,свободная,,,кирпичный,,,6 из 6,6
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_32_m_1632_et._3573743348?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJad0JJVjFnMVZ6Q0JWMkZiIjt9AaTT8D8AAAA,,консьерж,,,2023,1,"закрытая территория, детская площадка, спортивная площадка",,25 м²,студия,,"кухня, хранение одежды, спальные места",,32 м²,"на улицу, на солнечную сторону",,подземная,2,евро,совмещенный,свободная,,,монолитный,,,16 из 32,32
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_23_m_217_et._4837446758?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFRjZCMUVMRkRQMVdJQU9zIjt9S4g54j8AAAA,,мусоропровод,,2.7 м,2011,1,"детская площадка, спортивная площадка",,,студия,,,,23 м²,,,"открытая во дворе, за шлагбаумом во дворе",1,евро,совмещенный,свободная,,,панельный,,,2 из 17,
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_156_m_17_et._4838076087?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJhS05vZnVXdllZa1BqcFNZIjt9WaYklD8AAAA,,,,3.2 м,1934,нет,детская площадка,,,студия,,,,15.6 м²,во двор,,"открытая во дворе, за шлагбаумом во дворе",1,евро,совмещенный,свободная,,,кирпичный,,,1 из 7,7
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_236_m_1123_et._7251418761?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmVzFOcDV1TUJvMzFCWlp2Ijt9u7FM9D8AAAA,лоджия,,возможна ипотека,2.9 м,2024,2,"закрытая территория, детская площадка, спортивная площадка",панорамные окна,11 м²,студия,,"кухня, хранение одежды, спальные места",,23.6 м²,во двор,,подземная,1,косметический,совмещенный,свободная,,"холодильник, стиральная машина",монолитный,,,11 из 23,23
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_165_m_19_et._7365389329?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ6ZkdvVjJDZzczbzZlM3M2Ijt9i3UVuz8AAAA,лоджия,мусоропровод,,2.6 м,1976,нет,"детская площадка, спортивная площадка",,12 м²,студия,,,,16.5 м²,во двор,,открытая во дворе,1,косметический,совмещенный,свободная,,,панельный,,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_145_m_19_et._7351895467?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLSnVub3E3Y1M3dW5qMHJGIjt96HQm1T8AAAA,лоджия,,,,,,,,12.5 м²,студия,,,,14.5 м²,,,,,евро,,свободная,,,кирпичный,,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_20_m_19_et._7293649348?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDMzNETWJET1Iwbk9DaVFBIjt9LtSOhj8AAAA,,"мусоропровод, газ",,,1960,нет,"детская площадка, спортивная площадка",,,студия,,,,20 м²,во двор,,"открытая во дворе, за шлагбаумом во дворе",1,требует ремонта,совмещенный,свободная,,,кирпичный,,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_145_m_55_et._7332485918?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOTGtvSUdGVnZxMUtSNmJWIjt9qBalJD8AAAA,,,,2.9 м,1927,нет,детская площадка,,8.3 м²,студия,,,,14.5 м²,во двор,,открытая во дворе,нет,косметический,совмещенный,свободная,,,кирпичный,,,5 из 5,5
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_26_m_923_et._7233174875?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJIRUdOcGI3cXFnUWFtVm9lIjt9ZdDAwD8AAAA,,,,,,,,,13.7 м²,студия,Корпус 2,,ЖК «1-й Измайловский»,26 м²,во двор,предчистовая,,,,совмещенный,,Сдача в 4 кв. 2026,,монолитно-кирпичный,ДДУ по ФЗ 214,,9 из 23,23
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_213_m_220_et._7322702706?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI4cldlYWowclowY2V0bXJDIjt9NSZ3Tz8AAAA,,,,2.8 м,2023,1,"детская площадка, спортивная площадка",,,студия,,,,21.3 м²,на солнечную сторону,,"подземная, открытая во дворе",1,требует ремонта,совмещенный,свободная,,,монолитный,,,2 из 20,20
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_294_m_1323_et._4849557643?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFNG5HN1V0R29ZNWdpSnV5Ijt9BiuT2j8AAAA,,,возможна ипотека,3 м,,1,"закрытая территория, детская площадка, спортивная площадка",,14.1 м²,студия,Корпус 1.4 (3 секция),,ЖК «Адмирал»,29.4 м²,во двор,без отделки,,1,,совмещенный,договор долевого участия,Сдача в 3 кв. 2028,,монолитный,ДДУ по ФЗ 214,,13 из 23,23
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_151_m_19_et._7287134106?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIzNjJDRXhSSjdHaTBYdUVnIjt9tIJbsj8AAAA,,мусоропровод,,2.7 м,1978,нет,"детская площадка, спортивная площадка",,13 м²,студия,,,,15.1 м²,во двор,,открытая во дворе,1,евро,совмещенный,свободная,,,панельный,,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_10_m_33_et._7325213980?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIzSU9iUHRTVFJlTVNXT1o4Ijt9crSb7j8AAAA,,,,2.8 м,1988,нет,спортивная площадка,,8.1 м²,студия,,,,10 м²,во двор,,открытая во дворе,нет,косметический,совмещенный,свободная,,,кирпичный,,,3 из 3,3
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_167_m_316_et._7325821153?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNWnloZzlhOXNQT09hYTY5Ijt9ZiQEAj8AAAA,балкон,,,3 м,1988,нет,спортивная площадка,,8.1 м²,студия,,,,16.7 м²,на улицу,,открытая во дворе,нет,косметический,совмещенный,свободная,,,кирпичный,,,3 из 16,16
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_12_m_19_et._7310035419?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI2MFRIZjREVUY0d0VpWVA2Ijt9oO-Wkz8AAAA,,"мусоропровод, газ",,2.7 м,1974,нет,"детская площадка, спортивная площадка",,,студия,,,,12 м²,на солнечную сторону,,открытая во дворе,2,косметический,совмещенный,свободная,,,панельный,,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_17_m_112_et._7269601705?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJFRGxaSmVPYmRmSFZIYmJvIjt9DJ7Zzj8AAAA,,мусоропровод,,,1977,нет,"детская площадка, спортивная площадка",,,студия,,,,17 м²,во двор,,открытая во дворе,2,требует ремонта,совмещенный,свободная,,,панельный,,,1 из 12,12
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_214_m_116_et._7325105791?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ3RjFVR0RGcFRQMUhwbXNIIjt9SYvm5T8AAAA,балкон,,,2.9 м,1988,нет,детская площадка,,7.1 м²,студия,,,,21.4 м²,на улицу,,открытая во дворе,нет,косметический,совмещенный,свободная,,,кирпичный,,,1 из 16,16
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_158_m_114_et._7350469547?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJXUW1BRE1RYUJ2d0FiSjFPIjt9iE7f4z8AAAA,лоджия,мусоропровод,,2.6 м,1973,нет,детская площадка,,,студия,,,,15.8 м²,во двор,,за шлагбаумом во дворе,2,евро,совмещенный,свободная,,,панельный,,,1 из 14,14
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_117_m_19_et._4502887543?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0NDNVckg5RERCY0NCczB6Ijt9ym18zj8AAAA,,мусоропровод,,,1969,нет,"детская площадка, спортивная площадка",,,студия,,,,11.7 м²,во двор,,открытая во дворе,1,евро,совмещенный,свободная,,,панельный,,,1 из 9,9
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_30_m_1551_et._4750407222?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJYNWV3VGZxMFl1alEyd1BBIjt97p1MQj8AAAA,,консьерж,возможна ипотека,3 м,2025,2,"закрытая территория, детская площадка, спортивная площадка",панорамные окна,21 м²,студия,,,,30 м²,"во двор, на улицу",,подземная,4,требует ремонта,совмещенный,свободная,,,монолитный,,,15 из 51,51
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_274_m_221_et._7293570909?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJjMWNvY05wWEdHTUs2Tk1SIjt9ICcNKD8AAAA,,,возможна ипотека,3 м,,4,"закрытая территория, детская площадка, спортивная площадка",,,студия,Корпус 2,,Комплекс апартаментов N'ICE LOFT,27.4 м²,,без отделки,подземная,4,,,,Сдача в 2 кв. 2025,,монолитный,ДДУ по ФЗ 214,,2 из 21,21
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_147_m_55_et._7332834610?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiIwUGRqZUlzYjdyYk14Zk1RIjt9NRwBhT8AAAA,,,,2.9 м,1927,нет,детская площадка,,7.7 м²,студия,,,,14.7 м²,на улицу,,открытая во дворе,нет,косметический,совмещенный,свободная,,,кирпичный,,,5 из 5,5
https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_139_m_17_et._7226039978?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1V2Npc3RWUVJzZXk4dzllIjt9jjCY_T8AAAA,,,,2.5 м,1926,,,,11.4 м²,студия,,,,13.9 м²,на улицу,,,,косметический,совмещенный,свободная,,,кирпичный,,,1 из 7,7
https://www.avito.ru/moskva/kvartiry/kvartira-studiya_11_m_18_et._7354180420?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJscHpaaDN5VFdvNWx4MG9jIjt969wrXj8AAAA,,,возможна ипотека,2.8 м,1961,,"детская площадка, спортивная площадка",,,студия,,,,11 м²,во двор,,открытая во дворе,1,требует ремонта,совмещенный,свободная,,,кирпичный,,,1 из 8,8
