Название,Цена,Адрес,Дата публикации,Продавец,Тип продавца,ID объявления,Количество комнат,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Этажей в доме,Высота потолков,Санузел,Балкон или лоджия,Окна,Ремонт,Тёплый пол,Мебель,Техника,Отделка,Тип дома,Год постройки,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Название новостройки,"Корпус, строение",Вид сделки,Способ продажи,Тип участия,Срок сдачи,Дополнительно,Геолокация,Ссылка
"3-к. квартира, 58,3 м², 8/9 эт.",11900000,"Москва, Родниковая ул., 14",,Пользователь,Пользователь,7365868537,3,3,35 м²,6 м²,8,9,,раздельный,балкон,"во двор, на улицу",косметический,,,,дизайнерский ремонт,панельный,1972,1,нет,детская площадка,открытая во дворе,Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.38396454,55.63589478",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_583_m_89_et._7365868537
"3-к. квартира, 64,4 м², 6/14 эт.",17200000,"Москва, Сумской пр., 15к1",,Строим дома,Строим дома,7342121513,3,4,42.4 м²,9 м²,6,14,2.6 м,раздельный,"балкон, лоджия",во двор,требует ремонта,,кухня,,"Год постройки, расположение, ремонт и",панельный,", расположение, ремонт и ещё 12 параметров  
Проверка в Росреестре
1 собственник
Последняя смена собственника 13 февраля 2025
Не найдены ограничения и обременения 
Совпадают площадь, адрес и этаж
Расположение
Москва, Сумской пр., 15к1
Чертановская11",1,1,"детская площадка, спортивная площадка",открытая во дворе,ЖК Набережный Денис,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.59685975,55.63309439",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_644_m_614_et._7342121513
"3-к. квартира, 73 м², 2/17 эт.",16000000,"Москва, ул. Липчанского, 3",,Пользователь,Пользователь,4089259953,3,73,,14 м²,2,17,,раздельный,"балкон, лоджия","во двор, на улицу",косметический,,кухня,,дизайнерский ремонт,панельный,2013,1,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Донской,,Продажа Квартир Трёхкомнатных,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.93554000,55.70536100",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_73_m_217_et._4089259953
"Своб. планировка, 250 м², 3/4 эт.",36750000,"Москва, Кировоградская ул., 22Ас2",,Александр,Александр,7348144809,,250,200 м²,,3,4,2.9 м,"совмещенный, раздельный",,"во двор, на улицу, на солнечную сторону",требует ремонта,,,,дизайнерский ремонт,монолитно-кирпичный,2010,нет,нет,"закрытая территория, детская площадка, спортивная площадка","подземная, открытая во дворе, за шлагбаумом во дворе",Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.60228844,55.61599767",https://www.avito.ru/moskva/kvartiry/svob._planirovka_250_m_34_et._7348144809
"3-к. квартира, 65,6 м², 3/12 эт.",23500000,"Москва, Стройковская ул., 2",,Алина,Алина,7337529925,3,6,43.6 м²,7 м²,3,12,,раздельный,балкон,"во двор, на улицу",требует ремонта,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",дизайнерский ремонт,панельный,1972,2,нет,"детская площадка, спортивная площадка",за шлагбаумом во дворе,Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.67638397,55.73496246",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_656_m_312_et._7337529925
"3-к. квартира, 117 м², 15/23 эт.",34900000,"Москва, Рублёвское ш., 70к7",,Пользователь,Пользователь,7320175124,3,117,,30 м²,15,23,,"совмещенный, раздельный",,"во двор, на улицу",дизайнерский,есть,,"кондиционер, водонагреватель","из массивной дубовой доски и широкоформатной плитки.
Тёплые полы",монолитный,2017,2,2,"детская площадка, спортивная площадка","подземная, открытая во дворе",Жк Сказочный Лес,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.37809900,55.77090200",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_117_m_1523_et._7320175124
"3-к. квартира, 75 м², 3/8 эт.",31500000,"Москва, ул. Костякова, 7/7",,Пользователь,Пользователь,7304608494,3,75,45 м²,11 м²,3,8,2.8 м,раздельный,балкон,"во двор, на улицу",евро,есть,кухня,"кондиционер, стиральная машина, посудомоечная машина",дизайнерский ремонт,кирпичный,1961,1,нет,"закрытая территория, детская площадка",за шлагбаумом во дворе,Жк Миловидное,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.57229700,55.81146200",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_75_m_38_et._7304608494
"3-к. квартира, 81,3 м², 7/17 эт.",19950000,"Москва, ул. Главмосстроя, 12",,Пользователь,Пользователь,7370804338,3,3,65 м²,12 м²,7,17,,раздельный,"балкон, лоджия","во двор, на улицу, на солнечную сторону",косметический,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",дизайнерский ремонт,панельный,2009,1,1,"детская площадка, спортивная площадка","подземная, открытая во дворе",Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.40860748,55.65393829",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_813_m_717_et._7370804338
"3-к. квартира, 68,5 м², 6/24 эт.",25500000,"Москва, Люблинская ул., 76к4",,Марина,Марина,7300423472,3,5,50 м²,10.6 м²,6,24,2.7 м,раздельный,лоджия,"во двор, на улицу, на солнечную сторону",дизайнерский,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, посудомоечная машина",дизайнерский ремонт,панельный,2020,2,2,"детская площадка, спортивная площадка",открытая во дворе,Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.73155212,55.66295242",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_685_m_624_et._7300423472
"3-к. квартира, 57,4 м², 6/9 эт.",19500000,"Москва, ул. Маршала Василевского, 7к2",,Пользователь,Пользователь,7281085797,3,4,,6 м²,6,9,,совмещенный,балкон,на улицу,евро,,"кухня, хранение одежды, спальные места","холодильник, посудомоечная машина",дизайнерский ремонт,панельный,1971,1,нет,"детская площадка, спортивная площадка",открытая во дворе,Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.46978200,55.80365100",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_574_m_69_et._7281085797
"3-к. квартира, 98 м², 7/9 эт.",28000000,"Москва, Щербаковская ул., 58А",,Пользователь,Пользователь,7276175040,3,98,63 м²,9 м²,7,9,3 м,раздельный,,во двор,требует ремонта,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",дизайнерский ремонт,кирпичный,1955,2,нет,"детская площадка, спортивная площадка","открытая во дворе, за шлагбаумом во дворе",Жк Миловидное,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.74220276,55.78210068",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_98_m_79_et._7276175040
"3-к. квартира, 75 м², 12/16 эт.",30500000,"Москва, 3-я Хорошёвская ул., 25к1",17 апреля 12:52,Silver Horizon Estates,Silver Horizon Estates,7287593581,3,75,,14 м²,12,16,3 м,совмещенный,,во двор,евро,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",дизайнерский ремонт,монолитно-кирпичный,2019,2,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе",Хорошевский,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.49496081,55.78625142",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_75_m_1216_et._7287593581
"3-к. квартира, 79,4 м², 1/17 эт.",31500000,"Москва, ул. Грекова, 14к1",,Пользователь,Пользователь,7330185551,3,4,44.7 м²,12.8 м²,1,17,2.7 м,"совмещенный, раздельный","балкон, лоджия","во двор, на солнечную сторону",евро,есть,кухня,"кондиционер, посудомоечная машина",дизайнерский ремонт,панельный,2013,1,1,"детская площадка, спортивная площадка",за шлагбаумом во дворе,Жк Донской,,Продажа Квартир Трёхкомнатных,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.66281891,55.88990784",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_794_m_117_et._7330185551
"3-к. квартира, 85,2 м², 8/17 эт.",28200000,"Москва, ш. Энтузиастов, 11Ак3",,Пользователь,Пользователь,2780366945,3,2,53 м²,10.1 м²,8,17,2.7 м,раздельный,"балкон, лоджия","во двор, на улицу",косметический,,"кухня, хранение одежды","холодильник, стиральная машина, водонагреватель","Год постройки, расположение, ремонт и",панельный,2000,1,1,"закрытая территория, детская площадка, спортивная площадка","открытая во дворе, за шлагбаумом во дворе",Жк Донской,,возможна ипотека,альтернативная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.71441100,55.75326600",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_852_m_817_et._2780366945
"3-к. квартира, 72,7 м², 8/17 эт.",17900000,"Москва, Хвалынский б-р, 2",,Пользователь,Пользователь,4269114205,3,7,45 м²,10.2 м²,8,17,2.8 м,раздельный,балкон,"во двор, на улицу, на солнечную сторону",косметический,,"кухня, хранение одежды, спальные места","холодильник, водонагреватель",дизайнерский ремонт,панельный,1993,1,1,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.85183334,55.69958878",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_727_m_817_et._4269114205
"3-к. квартира, 77 м², 8/16 эт.",14490000,"Москва, ул. Вертолётчиков, 2",4 мая 18:35,Этажи Москва,Этажи Москва,7275202295,3,77,55 м²,12 м²,8,16,2.6 м,совмещенный,балкон,,евро,,ю и техникой,,дизайнерский ремонт,монолитно-кирпичный,2018,,,е,,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.94131600,55.69852800",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_77_m_816_et._7275202295
"3-к. квартира, 79 м², 1/5 эт.",17000000,"Москва, 14-я Парковая ул., 4",7 мая 14:28,АН ЕСН,АН ЕСН,7349812480,3,79,37 м²,10 м²,1,5,,раздельный,,,требует ремонта,,,,требует,кирпичный,,,,,,Жк Миловидное,,Продажа Апартаментов в Москве,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.81532700,55.78994200",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_79_m_15_et._7349812480
"3-к. квартира, 64 м², 1/5 эт.",17700000,"Москва, Эльдорадовский пер., 4",,Пользователь,Пользователь,7373847006,3,64,39.8 м²,7.1 м²,1,5,3.1 м,раздельный,,на улицу,требует ремонта,,,,дизайнерский ремонт,кирпичный,1958,нет,нет,"детская площадка, спортивная площадка",открытая во дворе,Жк Миловидное,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.54762100,55.79951200",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_64_m_15_et._7373847006
"3-к. квартира, 65 м², 11/12 эт.",17500000,"Москва, Мурановская ул., 19",,Фаина,Фаина,7344501706,3,65,45 м²,7 м²,11,12,2.7 м,раздельный,лоджия,во двор,косметический,,,,"В квартире сделан косметический ремонт, поэтому вы можете сразу заехать и жить. Планировка включает три комнаты, одну лоджию и отдельный санузел. В доме предусмотрены два пассажирских лифта, пандус и мусоропровод, что делает проживание комфортным и удобным. Для вашего автомобиля предусмотрена наземная парковка.",панельный,,2,,"детская площадка, спортивная площадка",открытая во дворе,Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.60220337,55.89584732",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_65_m_1112_et._7344501706
"3-к. квартира, 59 м², 6/9 эт.",18900000,"Москва, Голубинская ул., 9",,Пользователь,Пользователь,7344618647,3,59,38 м²,6 м²,6,9,2.6 м,раздельный,"балкон, лоджия","во двор, на улицу, на солнечную сторону",косметический,,,,дизайнерский ремонт,панельный,1977,1,нет,"детская площадка, спортивная площадка",открытая во дворе,Жк Донской,,Продажа от собственника,альтернативная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.51283800,55.60315100",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_59_m_69_et._7344618647
"3-к. квартира, 77 м², 7/22 эт.",17200000,"Москва, Волынская ул., 3",,Пользователь,Пользователь,7349500953,3,77,44.8 м²,10 м²,7,22,2.6 м,раздельный,лоджия,во двор,евро,,,,дизайнерский ремонт,панельный,1998,2,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.41639328,55.64534378",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_77_m_722_et._7349500953
"3-к. квартира, 82,5 м², 13/13 эт.",20900000,"Москва, Ставропольская ул., 1",,Пользователь,Пользователь,7269810573,3,5,55.5 м²,10.6 м²,13,13,,"совмещенный, раздельный",балкон,"во двор, на улицу, на солнечную сторону",евро,,,,дизайнерский ремонт,монолитный,2024,1,1,"детская площадка, спортивная площадка","подземная, наземная многоуровневая, за шлагбаумом во дворе",Жк Сказочный Лес,,прямая продажа,альтернативная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.73944180,55.68037834",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_825_m_1313_et._7269810573
"3-к. квартира, 73 м², 1/17 эт.",21000000,"Москва, ул. Ватутина, 16к3",,Дмитрий,Дмитрий,7335023946,3,73,45.1 м²,10.2 м²,1,17,,раздельный,,во двор,евро,,,,дизайнерский ремонт,панельный,,,,Ремонт,,Жк Донской,,Продажа Квартир Трёхкомнатных,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.45341400,55.72290300",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_73_m_117_et._7335023946
"Аукцион: 3-к. квартира, 86 м², 1/5 эт.",14805000,"Московская обл., Одинцовский г.о., с. Ромашково, Никольская ул., 2к2",7 мая 19:56,КомиссиON ВТБ,КомиссиON ВТБ,3884778144,3,86,50.6 м²,15.3 м²,1,5,,совмещенный,лоджия,во двор,дизайнерский,,,,дизайнерский ремонт,монолитный,2014,1,,Ремонт,,Жк Сказочный Лес,,аукцион,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.34146600,55.72961500",https://www.avito.ru/moskva/kvartiry/auktsion_3-k._kvartira_86_m_15_et._3884778144
"3-к. квартира, 80 м², 2/12 эт.",36000000,"Москва, Бакунинская ул., 5",28 апреля 20:36,Центр Недвижимости РК Москва,Центр Недвижимости РК Москва,7375661845,3,80,,15 м²,2,12,,,,во двор,дизайнерский,,,,дизайнерский ремонт,монолитный,,2,2,Ремонт,есть,Жк Сказочный Лес,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.67970000,55.77370700",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_80_m_212_et._7375661845
"3-к. квартира, 51,3 м², 6/9 эт.",20500000,"Москва, Шелепихинская наб., 18",,Пользователь,Пользователь,3280718514,3,3,33.7 м²,6 м²,6,9,2.6 м,совмещенный,лоджия,"во двор, на улицу",евро,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина",дизайнерский ремонт,панельный,,1,нет,"детская площадка, спортивная площадка",за шлагбаумом во дворе,Жк Донской,,Продажа Квартир Трёхкомнатных,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.51890100,55.75613800",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_513_m_69_et._3280718514
"3-к. квартира, 64 м², 8/16 эт.",16500000,"Москва, Саянская ул., 6",,Пользователь,Пользователь,7363499361,3,64,46.3 м²,7.9 м²,8,16,,раздельный,лоджия,"во двор, на улицу, на солнечную сторону",косметический,,"кухня, хранение одежды, спальные места","стиральная машина, посудомоечная машина",дизайнерский ремонт,панельный,1975,1,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.82714145,55.76618705",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_64_m_816_et._7363499361
"3-к. квартира, 75,1 м², 7/22 эт.",15900000,"Московская обл., Ленинский г.о., пгт. Бутово, Жилой комплекс Бутово Парк, 23к2",,Пользователь,Пользователь,4735778252,3,1,37 м²,20 м²,7,22,,раздельный,,"во двор, на улицу",евро,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",дизайнерский ремонт,монолитно-кирпичный,2012,3,2,"закрытая территория, детская площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.58767946,55.54427684",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_751_m_722_et._4735778252
"3-к. квартира, 58,5 м², 9/9 эт.",15900000,"Москва, Туристская ул., 10",,Пользователь,Пользователь,7375563040,3,5,45.5 м²,6 м²,9,9,2.6 м,раздельный,лоджия,"во двор, на улицу, на солнечную сторону",косметический,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",дизайнерский ремонт,панельный,,1,,"детская площадка, спортивная площадка",открытая во дворе,Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.42397556,55.85147474",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_585_m_99_et._7375563040
"3-к. квартира, 74,5 м², 3/16 эт.",23000000,"Москва, ул. Генерала Глаголева, 30к4",,Пользователь,Пользователь,3891501340,3,5,43.8 м²,10 м²,3,16,2.7 м,раздельный,"балкон, лоджия",во двор,требует ремонта,,,,"Год постройки, расположение, ремонт и",панельный,1981,1,1,детская площадка,открытая во дворе,Жк Донской,,возможна ипотека,альтернативная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.46954800,55.78780600",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_745_m_316_et._3891501340
"3-к. квартира, 81,6 м², 7/22 эт.",26000000,"Москва, Митинская ул., 40к1",,Пользователь,Пользователь,7340750604,3,6,45.7 м²,10 м²,7,22,2.7 м,раздельный,лоджия,"во двор, на улицу",косметический,,"кухня, хранение одежды, спальные места",,дизайнерский ремонт,панельный,1992,2,1,"закрытая территория, детская площадка, спортивная площадка","открытая во дворе, за шлагбаумом во дворе",Жк Донской,,Продажа Квартир Трёхкомнатных,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.36151700,55.84799300",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_816_m_722_et._7340750604
"Своб. планировка, 70 м², 27/39 эт.",23000000,"Москва, Амурская ул., 1Ак5",,Алина,Алина,7346749255,,70,40 м²,,27,39,3 м,"совмещенный, раздельный",,"во двор, на улицу",требует ремонта,,,,дизайнерский ремонт,монолитный,2020,,,", на улицу
Ремонт",,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.75927353,55.80924225",https://www.avito.ru/moskva/kvartiry/svob._planirovka_70_m_2739_et._7346749255
"3-к. квартира, 72 м², 5/14 эт.",17800000,"Москва, ул. Поляны, 9",,Пользователь,Пользователь,7265925815,3,72,45 м²,9.5 м²,5,14,,раздельный,лоджия,во двор,евро,,"кухня, хранение одежды, спальные места",кондиционер,дизайнерский ремонт,панельный,1994,1,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Донской,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.55207443,55.55102158",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_72_m_514_et._7265925815
"3-к. квартира, 55,3 м², 3/16 эт.",19000000,"Москва, Ясеневая ул., 12к1",,Capital Mars,Capital Mars,4592881590,3,3,,10 м²,3,16,,"совмещенный, раздельный",,,,,,,дизайнерский ремонт,панельный,,,,,есть,Жк Донской,,Продажа Квартир Трёхкомнатных,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.72755300,55.60120300",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_553_m_316_et._4592881590
"3-к. квартира, 66 м², 1/6 эт.",23290000,"Москва, Мытная ул., 25",,ML Realty,ML Realty,7336119936,3,66,,8.8 м²,1,6,,раздельный,,во двор,косметический,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",дизайнерский ремонт,кирпичный,1925,нет,нет,детская площадка,открытая во дворе,Жк Миловидное,,Продажа Апартаментов в Москве,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.61997100,55.71633600",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_66_m_16_et._7336119936
"3-к. квартира, 75,8 м², 11/16 эт.",22300000,"Москва, Зюзинская ул., 4к2",16 апреля 22:15,Агентство недвижимости «Подмосковные вечера»,Агентство недвижимости «Подмосковные вечера»,7370547226,3,8,46.2 м²,11 м²,11,16,,раздельный,лоджия,,евро,,,,дизайнерский ремонт,панельный,,,,".
Состояние нормальное, квартира требует ремонта, полы - паркет. Просторная квадратная кухня и большой холл.
Расположение - панорамный вид. Дом во дворе.
Транспорт - в пешей доступности станции метро Профсоюзная, Новые Черёмушки, Зюзинская.
Инфраструктура - развитая инфраструктура, прекрасный зелёный район, всё в пешей доступности",,Жк Донской,,Продажа Квартир Трёхкомнатных,альтернативная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.57745400,55.66575100",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_758_m_1116_et._7370547226
"3-к. квартира, 67,1 м², 2/8 эт.",26000000,"Москва, Басманный тупик, 10/12",,Пользователь,Пользователь,7387621923,3,1,47.6 м²,7.9 м²,2,8,2.9 м,совмещенный,,во двор,косметический,,,,"Интeрecный вapиант в ЦЕНТРЕ MОCКBЫ. Пpoстopная и cвeтлaя квapтиpа с ИЗОЛИРOВAHHЫMИ кoмнaтами в KИPПИЧНOМ домe c выcoкими потoлками. B квapтиpе мoжнo cдeлaть пеpеплaнировку, тaк как тoлькo однa нeсущaя стенa. Хoрошaя шумoизoляция (толстые киpпичные стены). Окна – деревянные стеклопакеты, на полу паркет. Санузел совмещенный, с окном. На этаже две квартиры. Есть лифт и мусоропровод. Подъезд чистый, приличные соседи. Недавно был капремонт дома. Зеленый благоустроенный двор с детской площадкой и небольшим сквером для жителей дома и их гостей. Въезд во двор через ШЛАГБАУМ, много парковочных мест. Дом имеет удобное расположение, хорошую транспортную доступность и развитую инфраструктуру. Рядом находится парк – Сад им.Баумана – прекрасное место для прогулок и отдыха, а также музеи и другие исторические достопримечательности Москвы. В пешей доступности Инженерная школа №1581, Медцентр РЖД, кафе и рестораны, торговые центры и проч. Также пешком можно дойти до ст.м.Красные Ворота (7 мин.), Комсомольская (10 мин.), Курская и Чкаловская (15 мин.). СВОБОДНАЯ ПРОДАЖА (по полной стоимости). Никто не проживает, никто не прописан. Документы готовы к сделке. Звоните, приезжайте!",кирпичный,1931,1,нет,"закрытая территория, детская площадка, спортивная площадка",за шлагбаумом во дворе,Жк Миловидное,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.65699000,55.76765600",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_671_m_28_et._7387621923
"3-к. квартира, 66 м², 12/25 эт.",23400000,"Москва, Домостроительная ул., 14",,Алексей,Алексей,7303100482,3,66,30.8 м²,18.6 м²,12,25,2.6 м,совмещенный,балкон,"во двор, на улицу",косметический,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина",дизайнерский ремонт,блочный,2020,1,2,"закрытая территория, детская площадка, спортивная площадка","наземная многоуровневая, открытая во дворе, за шлагбаумом во дворе",Жк Аникеевский,"введен в эксплуатацию в 2020 году
Закрытые дворы парки без автомобилей.
Внутренний бульвар с кафе и ресторанами.
Многоуровневая парковка",возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.42548600,55.66230300",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_66_m_1225_et._7303100482
"3-к. квартира, 71,7 м², 5/5 эт.",19500000,"Москва, 3-я Прядильная ул., 6",,Пользователь,Пользователь,4415094884,3,7,51.3 м²,8.4 м²,5,5,2.6 м,раздельный,балкон,во двор,евро,,,,дизайнерский ремонт,кирпичный,,нет,нет,детская площадка,открытая во дворе,Жк Миловидное,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.77209091,55.79774094",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_717_m_55_et._4415094884
"3-к. квартира, 192 м², 14/15 эт.",160000000,"Москва, ул. Новый Арбат, 27",11 мая 08:49,Monumental Group,Monumental Group,7276227261,3,192,,20 м²,14,15,3.2 м,"совмещенный, раздельный",,"во двор, на улицу",дизайнерский,,,,в,монолитный,2010,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.57886400,55.75197400",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_192_m_1415_et._7276227261
