Название,Цена,Адрес,Дата публикации,Продавец,Тип продавца,ID объявления,Количество комнат,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Этажей в доме,Высота потолков,Санузел,Балкон или лоджия,Окна,Ремонт,Тёплый пол,Мебель,Техника,Отделка,Тип дома,Год постройки,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Название новостройки,"Корпус, строение",Вид сделки,Способ продажи,Тип участия,Срок сдачи,Дополнительно,Геолокация,Ссылка
"1-к. квартира, 49,4 м², 2/22 эт.",24858080,"ул. Полковая, вл. 1",2 мая 18:08,PRIDE,PRIDE,4195451517,1,4,,,2,22,3 м,,,,,,,,без отделки,монолитный,,,,"а. Внутри предусмотрены площадки для спорта, места для игр и тихие пространства для отдыха и неторопливого общения.
Коммерческие и торговые помещения спроектированы на уровне первых этажей",подземная,ЖК PRIDE,ЖК PRIDE,прямая продажа,,ДДУ по ФЗ 214,Сдача в 4 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.59913000,55.79841000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_494_m_222_et._4195451517
"1-к. квартира, 41,5 м², 20/31 эт.",18641800,"ш. Открытое, д. 9",22 апреля 04:27,Мангазея,Мангазея,7332908449,1,5,,,20,31,3 м,,,"ми, интерьерами в теплой цветовой гамме и мягкой зоной ожидания располагаются в каждой башне",,,"ю.
О застройщике
Группа компаний",,без отделки,монолитный,,1,1,"закрытая территория, детская площадка","Узнать больше о ЖК
Ипотека со скидкой на Авито
Стоимость жилья
Первый взнос
Срок ипотеки
Одна заявка в несколько банков
Банк ДОМ.РФ
22",ЖК «Мангазея в Богородском»,Корпус 3,возможна ипотека,договор долевого участия,ДДУ по ФЗ 214,Сдача в 2 кв. 2028,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.73644000,55.81577000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_415_m_2031_et._7332908449
"1-к. квартира, 38 м², 2/12 эт.",14500000,"Москва, б-р Матроса Железняка, 28",,Пользователь,Пользователь,7351550878,1,38,19 м²,8 м²,2,12,2.7 м,совмещенный,лоджия,во двор,косметический,,"кухня, хранение одежды, спальные места",,дизайнерский ремонт,панельный,1999,1,1,детская площадка,открытая во дворе,"Уютная и свeтлaя квартиpa, солнечная  cтоpонa . Oкнa выходят во двop . B пeшeй дocтупности нахoдятся  мaгaзины Дикcи , Пятёpoчкa, Пеpeкрёcток а тaкжe нecколькo аптeк .                                                                        Дeтcкaя поликлиникa нaxoдитcя в пешей дoступнoсти  10 мин . Bзрocлая пoликлиникa  в 5 мин от дoмa  . Дeтские cады , шкoлы  , дeтcкиe ceкции и кружки вce тaкже находятся на небольшом расстоянии от дома. Не далеко от дома ТЦ Петровский , Рассвет, Метрополис . От дома до автобусной остановки 3 минуты до МЦК  Коптево 10-15 мин пешком . Напротив дома удачно располагается аллея , для прогулок также имеется 2 парка",,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.53035869,55.83553243",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_38_m_212_et._7351550878
"1-к. квартира, 46,7 м², 14/24 эт.",23326650,"ш. Ленинградское, з/у 57/4/1",30 апреля 15:08,Мангазея,Мангазея,7359127363,1,7,,,14,24,3 м,,,во двор,,,,,без отделки,монолитно-кирпичный,"""Maнгaзея нa Рeчнoм"" этo тeрpитopия в 14 гeктaр, примыкaющая к нaбеpежнoй, пaрку и иcтoричecкому здaнию Ceвеpногo peчнoго вoкзaлa. В рамках проекта вдоль набережной будет построено три линии жилых домов разной высотности. Каждое здание обладает своим характером и индивидуальностью, при этом вместе они формируют ощущение единой курортной городской среды.",,,"закрытая территория, детская площадка, спортивная площадка",подземная,ЖК «Мангазея на Речном»,Корпус 8.2,возможна ипотека,договор долевого участия,ДДУ по ФЗ 214,Сдача в 3 кв. 2027,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.46469000,55.85876000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_467_m_1424_et._7359127363
"1-к. квартира, 40,3 м², 2/9 эт.",20175270,Москва,23 апреля 19:29,VarshavskayaLife,VarshavskayaLife,7326175745,1,3,,,2,9,,,,,,,,,дизайнерский ремонт,,,,,,,"Расскажем больше о квартире и ЖК. Ответим на вопросы, подтвердим наличие и цену.",,прямая продажа,,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.",,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_403_m_29_et._7326175745
"1-к. квартира, 38,7 м², 11/22 эт.",10220000,Москва,24 апреля 12:38,INGRAD Недвижимость,INGRAD Недвижимость,7334784272,1,7,,,11,22,,,,,,,,,дизайнерский ремонт,,,,,,,"Расскажем больше о квартире и ЖК. Ответим на вопросы, подтвердим наличие и цену.",,прямая продажа,,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.",,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_387_m_1122_et._7334784272
"1-к. квартира, 51,2 м², 9/27 эт.",22387317,Москва,5 мая 18:11,ЖК ЛАЙМ,ЖК ЛАЙМ,7346977011,1,2,,,9,27,,,,,,,,,дизайнерский ремонт,,,,,,,Лайм,,прямая продажа,,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.",,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_512_m_927_et._7346977011
"1-к. квартира, 38,9 м², 12/21 эт.",17856957,"ш. Дмитровское, вл. 87, стр. F",3 мая 17:36,MR Group,MR Group,7285845563,1,9,23.8 м²,,12,21,2.9 м,,,"высотой до 2,5 м, в корпусах 3 очереди витражное остекление высотой до 4,2 м
Четыре вида дизайнерской отделки квартир от бюро Вlаnk Аrсhitесts
Возможность купить квартиру с предчистовой отделкой whitе bох",,,,,без отделки,монолитно-кирпичный,,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,ЖК «Селигер Сити»,"4 очередь, Корпус F («Левенгук»)",возможна ипотека,договор долевого участия,ДДУ по ФЗ 214,Сдача в 3 кв. 2026,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.54531000,55.86254000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_389_m_1221_et._7285845563
"1-к. квартира, 36,2 м², 13/19 эт.",15978000,"ул. Шоссейная, вл. 4Д",29 апреля 06:39,Hals-development,Hals-development,7345188624,1,2,,,13,19,3 м,,,во двор,,,,,без отделки,монолитный,,1,1,"закрытая территория, детская площадка, спортивная площадка","Узнать больше о ЖК
Ипотека со скидкой на Авито
Стоимость жилья
Первый взнос
Срок ипотеки
Одна заявка в несколько банков
Совкомбанк
5,99",ЖК «Адмирал»,Корпус 1.4 (1 секция),возможна ипотека,договор долевого участия,ДДУ по ФЗ 214,Сдача в 3 кв. 2028,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.72591000,55.69512000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_362_m_1319_et._7345188624
"1-к. квартира, 46,3 м², 8/25 эт.",15938775,"ш. Открытое, д. 9",22 апреля 04:27,Мангазея,Мангазея,7332545730,1,3,,,8,25,3 м,,,"ми, интерьерами в теплой цветовой гамме и мягкой зоной ожидания располагаются в каждой башне",,,"ю.
О застройщике
Группа компаний",,без отделки,монолитный,,1,1,"закрытая территория, детская площадка","Узнать больше о ЖК
Ипотека со скидкой на Авито
Стоимость жилья
Первый взнос
Срок ипотеки
Одна заявка в несколько банков
Совкомбанк
5,99",ЖК «Мангазея в Богородском»,Корпус 4,возможна ипотека,договор долевого участия,ДДУ по ФЗ 214,Сдача в 2 кв. 2028,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.73712000,55.81612000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_463_m_825_et._7332545730
"1-к. апартаменты, 35,7 м², 2/21 эт.",11156161,"пр-д Автомобильный, вл. 4",23 апреля 13:09,COLDY,COLDY,4254140284,1,7,,,2,21,3 м,,,,,,,,без отделки,монолитный,,4,4,"закрытая территория, детская площадка, спортивная площадка",подземная,Комплекс апартаментов N'ICE LOFT,Корпус 5,возможна ипотека,,ДДУ по ФЗ 214,Сдача в 2 кв. 2025,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.69708000,55.72984000",https://www.avito.ru/moskva/kvartiry/1-k._apartamenty_357_m_221_et._4254140284
"1-к. квартира, 43,2 м², 21/48 эт.",15808174,"Волоколамское ш., стр. 1",4 мая 23:07,City Bay от MR GROUP,City Bay от MR GROUP,4326978990,1,2,11.7 м²,,21,48,2.9 м,,,во двор,,,,,предчистовая,монолитный,,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,ЖК «City Bay»,3 очередь (Корпус 1),прямая продажа,,ДДУ по ФЗ 214,Сдача в 1 кв. 2027,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.40472000,55.83018000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_432_m_2148_et._4326978990
"1-к. квартира, 47,5 м², 16/20 эт.",29697000,"ш. Волоколамское, стр. 14",28 апреля 22:35,СЗ «Стадион Спартак» - Клубный город на реке «Primavera»,СЗ «Стадион Спартак» - Клубный город на реке «Primavera»,4445512842,1,5,15 м²,18.5 м²,16,20,3.4 м,раздельный,,,,,,,без отделки,монолитный,,,,закрытая территория,подземная,ЖК «Клубный город на реке Primavera»,Квартал «Беллини» (корпус 14),прямая продажа,,ДДУ по ФЗ 214,Сдача в 4 кв. 2028,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.42808000,55.81245000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_475_m_1620_et._4445512842
"1-к. квартира, 39,8 м², 3/43 эт.",22478602,"ул. 2-я Хуторская, д. 34",28 апреля 10:48,MR Group - ЖК «Symphony 34»,MR Group - ЖК «Symphony 34»,4209566635,1,8,12.3 м²,,3,43,3 м,,,"высотой до 2,6 м.
Более 100 кладовых в подземной части ЖК и более 500 на этажах.

Безопасность
- Система контроля входа на территорию комплекса, биометрия
- Система автоматического водяного пожаротушения и противопожарного водопровода, система пожарной вентиляции
- Доступ на парковку при помощи системы распознавания автомобильных номеров, карточка для контроля доступа резидентов
- Система видеонаблюдения
- Круглосуточная связь через приложение, телефон, голосовые сообщения с охраной, консьержем, саll-центр.

Расположение

Пешком
- 6 минут до метро",,,,,предчистовая,монолитно-кирпичный,,,,"детская площадка, спортивная площадка",,ЖК «SYMPHONY34 (Симфония 34)»,Корпус C (Silver),прямая продажа,,другое,Сдан 4 кв. 2024,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.57182000,55.80613000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_398_m_343_et._4209566635
"1-к. квартира, 35,7 м², 2/12 эт.",9500000,"Москва, Каширское ш., 138",,Пользователь,Пользователь,7325879965,1,7,20 м²,10 м²,2,12,,совмещенный,,во двор,косметический,,"кухня, хранение одежды, спальные места",,дизайнерский ремонт,панельный,1979,1,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Город Звёзд,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.72235200,55.59892900",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_357_m_212_et._7325879965
"1-к. квартира, 60,7 м², 9/18 эт.",97877000,"наб. Лужнецкая, д. 2/4, стр. С1",30 апреля 20:39,Absolute Premium,Absolute Premium,7286440240,1,7,15.1 м²,,9,18,,,,"- Просторная кухня-столовая

Клубный дом Нighlinе 1 Luzhniki Соllесtiоn",,,есть,,без отделки,монолитный,,,,,"Подъезд
Парки
Узнать больше о ЖК
Ипотека со скидкой на Авито
Стоимость жилья
Первый взнос
Срок ипотеки
Одна заявка в несколько банков
Т-Банк
28",Luzhniki Collection (Коллекция Лужники),Корпус С1,возможна ипотека,договор долевого участия,ДДУ по ФЗ 214,Сдача в 4 кв. 2026,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.57242000,55.71473000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_607_m_918_et._7286440240
"1-к. квартира, 35,6 м², 29/59 эт.",16650832,"ул. Верейская, д. 29/32Б",,MR Group - ЖК «SET»,MR Group - ЖК «SET»,4223171190,1,6,19.8 м²,,29,59,2.9 м,,лоджия,"ми на три стороны света, мастер-спальнями и террасами, а также система",,,,,предчистовая,монолитный,,,,"детская площадка, спортивная площадка","на 50 мест.

Статусное окружение

В непосредственной близости расположены престижные учебные заведения, такие как лучшая бизнес-школа России",ЖК SET,Урбан-блок UB2,возможна ипотека,,ДДУ по ФЗ 214,Сдача в 3 кв. 2028,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.43617000,55.71002000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_356_m_2959_et._4223171190
"1-к. квартира, 37,7 м², 5/17 эт.",8900000,"Москва, Лухмановская ул., 17",,ELENA,ELENA,7343103741,1,7,19 м²,7 м²,5,17,,совмещенный,лоджия,во двор,косметический,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",дизайнерский ремонт,панельный,2007,1,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Город Звёзд,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.89879900,55.72161000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_377_m_517_et._7343103741
"1-к. квартира, 40,5 м², 12/24 эт.",20663100,"ул. Гастелло, д. 32",4 мая 15:45,STONE,STONE,4424582437,1,5,12.1 м²,,12,24,,", а также комната матери и ребенка. А колясочные появятся на каждом этаже - ведь это самое удобное решение для детей и их родителей.


 

Планировочные решения",,,,,,,без отделки,монолитный,,,,е дома,,ЖК «Sokolniki»,Башня С,прямая продажа,,ДДУ по ФЗ 214,Сдача в 4 кв. 2027,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.69016000,55.78321000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_405_m_1224_et._4424582437
"1-к. квартира, 43,6 м², 15/46 эт.",25265851,"3-й Хорошёвский проезд, д. 3А",1 мая 14:27,ГК ФСК,ГК ФСК,4623584112,1,6,12.9 м²,,15,46,3.1 м,,,"город
- Вид из окна на соседний корпус

Квартира с предчистовой отделкой",,,есть,,предчистовая,монолитно-кирпичный,,,4,"закрытая территория, детская площадка, спортивная площадка","подземная, открытая во дворе",ЖК «AMBER CITY»,Корпус 4,возможна ипотека,договор долевого участия,ДДУ по ФЗ 214,Сдача в 3 кв. 2027,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.53587000,55.77055000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_436_m_1546_et._4623584112
"1-к. квартира, 72,5 м², 9/12 эт.",77747500,"Шлюзовая наб., секц. 6",24 апреля 06:47,Hals-development,Hals-development,4497516249,1,5,45.8 м²,9.8 м²,9,12,3.3 м,"совмещенный, раздельный",,во двор,,,,,без отделки,монолитный,,1,,детская площадка,подземная,Элитный жилой комплекс «Монблан»,Секция 6,возможна ипотека,договор долевого участия,ДДУ по ФЗ 214,Сдача в 1 кв. 2028,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.64230000,55.73201000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_725_m_912_et._4497516249
"1-к. квартира, 31,7 м², 11/16 эт.",9500000,"Москва, ул. Маршала Ерёменко, 5к1",6 мая 02:05,АвиаН-Недвижимость,АвиаН-Недвижимость,7243104652,1,7,,8.6 м²,11,16,2.7 м,совмещенный,балкон,во двор,косметический,,"кухня, хранение одежды, спальные места","холодильник, стиральная машина","Год постройки, расположение, ремонт и",панельный,2019,1,1,детская площадка,открытая во дворе,Жк Город Звёзд,,возможна ипотека,альтернативная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.94876300,55.71212700",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_317_m_1116_et._7243104652
"1-к. квартира, 74,9 м², 3/18 эт.",112501000,Москва,25 апреля 19:10,Absolute Premium,Absolute Premium,7286784040,1,9,,,3,18,,,,,,,,,дизайнерский ремонт,,,,,,,"Расскажем больше о квартире и ЖК. Ответим на вопросы, подтвердим наличие и цену.",,прямая продажа,,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.",,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_749_m_318_et._7286784040
"1-к. квартира, 32,8 м², 2/9 эт.",8500000,"Москва, 16-я Парковая ул., 55к2",,геннадий,геннадий,4540150963,1,8,,6 м²,2,9,2.6 м,совмещенный,,во двор,косметический,,"кухня, хранение одежды, спальные места",,"Kвартира поcле кocмeтичeскoгo ремонта, удобная как для проживания так и для сдачи в наем.",панельный,,1,,"детская площадка, спортивная площадка",открытая во дворе,Жк Город Звёзд,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.82706070,55.81122971",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_328_m_29_et._4540150963
"1-к. квартира, 36,5 м², 16/24 эт.",23969550,"пр-т Мира, ЖК «Мира»",20 апреля 16:47,MR Group МИRA,MR Group МИRA,7273262517,1,5,22.5 м²,,16,24,3.3 м,,,"ми, системой",,,есть,,без отделки,монолитно-кирпичный,,,,"детская площадка, спортивная площадка",,МИRA,,прямая продажа,,ДДУ по ФЗ 214,Сдача в 2 кв. 2027,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.65187000,55.82839000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_365_m_1624_et._7273262517
"1-к. квартира, 43,6 м², 2/46 эт.",24379027,"3-й Хорошёвский проезд, д. 3А",1 мая 14:27,ГК ФСК,ГК ФСК,4592032565,1,6,12.9 м²,,2,46,3.1 м,,,"двор
- Вид из окна на соседний корпус

Квартира с предчистовой отделкой",,,есть,,предчистовая,монолитно-кирпичный,,,4,"закрытая территория, детская площадка, спортивная площадка","подземная, открытая во дворе",ЖК «AMBER CITY»,Корпус 4,возможна ипотека,договор долевого участия,ДДУ по ФЗ 214,Сдача в 3 кв. 2027,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.53587000,55.77055000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_436_m_246_et._4592032565
"1-к. квартира, 35 м², 3/24 эт.",10900000,"Москва, Псковская ул., 5к1",,Пользователь,Пользователь,7316291140,1,35,18 м²,12 м²,3,24,3 м,совмещенный,лоджия,во двор,косметический,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина",дизайнерский ремонт,монолитный,2000,1,2,детская площадка,"подземная, за шлагбаумом во дворе",Жк Пехра,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.54913900,55.90409400",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_35_m_324_et._7316291140
"1-к. квартира, 42,8 м², 16/24 эт.",22201592,"Нагатинская пойма, з/у 2",4 мая 11:45,Dream Riva,Dream Riva,4730768684,1,8,,,16,24,3,,,,,,,,без отделки,монолитный,,,,"Подъезд
Транспортная доступность
Узнать больше о ЖК
Ипотека со скидкой на Авито
Стоимость жилья
Первый взнос
Срок ипотеки
Одна заявка в несколько банков
Банк ДОМ.РФ
22",,ЖК «Dream Riva»,Копрус 1 (3 этап),возможна ипотека,,ДДУ по ФЗ 214,Сдача в 3 кв. 2027,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.68436000,55.69355000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_428_m_1624_et._4730768684
"1-к. квартира, 47 м², 15/21 эт.",19555000,"ул. Шоссейная, вл. 4Д",29 апреля 06:39,Hals-development,Hals-development,4850247252,1,47,29.8 м²,5.5 м²,15,21,3 м,совмещенный,,на улицу,,,,,без отделки,монолитный,,1,1,"закрытая территория, детская площадка, спортивная площадка","Узнать больше о ЖК
Ипотека со скидкой на Авито
Стоимость жилья
Первый взнос
Срок ипотеки
Одна заявка в несколько банков
Банк ДОМ.РФ
22",ЖК «Адмирал»,Корпус 1.4 (2 секция),возможна ипотека,договор долевого участия,ДДУ по ФЗ 214,Сдача в 3 кв. 2028,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.72601000,55.69537000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_47_m_1521_et._4850247252
"1-к. квартира, 43 м², 8/22 эт.",16800000,"Москва, Новомосковский административный округ, поселение Внуковское, ул. Анны Ахматовой, 22",,Пользователь,Пользователь,2704333371,1,43,25 м²,15 м²,8,22,2.9 м,совмещенный,балкон,"на улицу, на солнечную сторону",евро,есть,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",дизайнерский ремонт,монолитный,2016,2,1,"детская площадка, спортивная площадка",открытая во дворе,Жк Аура,,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.32153300,55.63340900",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_43_m_822_et._2704333371
"1-к. квартира, 48,6 м², 2/12 эт.",28013040,"ш. Ленинградское, з/у 57/4/1",30 апреля 15:08,Мангазея,Мангазея,7359247729,1,6,,,2,12,3.8 м,,,,,,,,без отделки,монолитно-кирпичный,"""Maнгaзея нa Рeчнoм"" этo тeрpитopия в 14 гeктaр, примыкaющая к нaбеpежнoй, пaрку и иcтoричeскому здaнию Сeвeрнoгo peчнoго вoкзaла. В рамках проекта вдоль набережной будет построено три линии жилых домов разной высотности. Каждое здание обладает своим характером и индивидуальностью, при этом вместе они формируют ощущение единой курортной городской среды.",,,"закрытая территория, детская площадка, спортивная площадка",подземная,ЖК «Мангазея на Речном»,Корпус 8.1,возможна ипотека,договор долевого участия,ДДУ по ФЗ 214,Сдача в 3 кв. 2027,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.46431000,55.85805000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_486_m_212_et._7359247729
"1-к. квартира, 47 м², 15/35 эт.",18500000,"Москва, ул. Годовикова, 11к5",30 апреля 09:25,ЧестнокофЪ,ЧестнокофЪ,7265490219,1,47,,20 м²,15,35,3 м,совмещенный,,на улицу,косметический,,есть,,дизайнерский ремонт,монолитный,2024,2,1,"детская площадка, спортивная площадка",подземная,iLove,ов,прямая продажа,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.62424700,55.81046600",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_47_m_1535_et._7265490219
"1-к. квартира, 43,7 м², 23/24 эт.",23108560,Москва,30 апреля 15:08,Мангазея,Мангазея,7359028149,1,7,,,23,24,,,,,,,,,дизайнерский ремонт,,,,,,,"Расскажем больше о квартире и ЖК. Ответим на вопросы, подтвердим наличие и цену.",,прямая продажа,,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.",,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_437_m_2324_et._7359028149
"1-к. квартира, 37,7 м², 2/17 эт.",8800000,"Москва, Профсоюзная ул., 136к1",,Пользователь,Пользователь,4755565918,1,7,19 м²,8.4 м²,2,17,2.7 м,совмещенный,,во двор,требует ремонта,,есть,,дизайнерский ремонт,панельный,,1,1,детская площадка,открытая во дворе,Жк Город Звёзд,,возможна ипотека,свободная,,,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.51294708,55.62882996",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_377_m_217_et._4755565918
"1-к. квартира, 41,5 м², 9/31 эт.",17467350,"ш. Открытое, д. 9",22 апреля 04:27,Мангазея,Мангазея,7332518794,1,5,,,9,31,3 м,,,"ми, интерьерами в теплой цветовой гамме и мягкой зоной ожидания располагаются в каждой башне",,,"ю.
О застройщике
Группа компаний",,без отделки,монолитный,,1,1,"закрытая территория, детская площадка","Узнать больше о ЖК
Ипотека со скидкой на Авито
Стоимость жилья
Первый взнос
Срок ипотеки
Одна заявка в несколько банков
Банк ДОМ.РФ
22",ЖК «Мангазея в Богородском»,Корпус 3,возможна ипотека,договор долевого участия,ДДУ по ФЗ 214,Сдача в 2 кв. 2028,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.73644000,55.81577000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_415_m_931_et._7332518794
"1-к. квартира, 35,2 м², 16/46 эт.",20732800,"проезд 3-й Силикатный, д. 10",24 апреля 08:56,MR Group,MR Group,7370102299,1,2,11.8 м²,15.6 м²,16,46,3 м,совмещенный,,во двор,,,,,предчистовая,монолитный,,1,,Отделка,подземная,ЖК «JOIS»,"Этап 1, Корпус 1 (ANNA)",прямая продажа,,ДДУ по ФЗ 214,Сдача в 4 кв. 2027,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.50737000,55.77342000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_352_m_1647_et._7370102299
"1-к. квартира, 42,6 м², 8/25 эт.",21184980,"пр-д Невельского/ш. Энтузиастов/ул. Золоторожский Вал/проезд Шелихова/ул. Крузенштерна, жилые дома",25 апреля 08:46,ДОНСТРОЙ,ДОНСТРОЙ,7241450426,1,6,13.1 м²,19 м²,8,25,3.1 м,совмещенный,ов и террас просторных квартир СИМВОЛА открываются отличные виды на город и новый парк,во двор,,,,,без отделки,монолитный,,1,1,"закрытая территория, детская площадка, спортивная площадка",открытая во дворе,ЖК «СИМВОЛ»,Очередь 3А (Корпус 34),прямая продажа,,ДДУ по ФЗ 214,Сдача в 4 кв. 2027,"20 метров до набережной, остановка речных трамвайчиков напротив подъезда, 5 минут пешком до метро БКЛ Нагатинский затон.","37.68849000,55.75145000",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_426_m_825_et._7241450426
